이름	성별	학년	중간	기말	출석	과제
김둘	여자	1		36	5	75
김셋	남자	2	17	20	5	96
김여섯	남자	2	28	20	4	83
김일곱	남자		20	44	6	82
김여덜		1	20	24	8	88
김아홉	남자	3	23	45	10	92
김열	남자	3	16	47	5	83
이다섯	남자	3	21	35	5	92
이아홉	남자	3	20	36	5	87
이열	여자	4	28	41	9	87
박하나	남자	4	30	25	7	86
박둘	남자	4	20	31	7	76
박여섯	여자	1	24	37	7	91
김하나	여자	2	19	18	8	88
박열	남자	3	23	20	6	80
최하나	여자	1	29	39	5	83
최둘	남자	1	18	29	5	86
최셋	남자	2	29	39	7	84
이여섯	여자	3	22	38	7	78
이일곱	남자	3	24	32	8	87
이여덜	여자	4	17	47	5	70
최여덜	남자	4	13	48	8	89
최아홉	남자	1	21	33	3	100
최열	여자	2	16	50	10	100
김넷	남자	1	18	28	7	93
김다섯	남자	2	24	18	6	84
이하나	남자	3	29	17	5	79
이둘	남자	4	30	42	8	98
이셋	남자	4	22	50	4	79
이넷	여자	4	24	21	10	89
