name	gender	year	mid	final	att	proj
kim2	F	1	12	36	5	75
kim3	M	2	17	20	5	96
kim6	M	2	28	20	4	83
kim7	M	2	20	44	6	82
kim8	F	1	20	24	8	88
kim9	M	3	23	45	10	92
kim10	M	3	16	47	5	83
lee5	M	3	21	35	5	92
lee9	M	3	20	36	5	87
lee10	F	4	28	41	9	87
park1	M	4	30	25	7	86
park2	M	4	20	31	7	76
park6	F	1	24	37	7	91
kim1	F	2	19	18	8	88
park10	M	3	23	20	6	80
choi1	F	1	29	39	5	83
choi2	M	1	18	29	5	86
choi3	M	2	29	39	7	84
lee6	F	3	22	38	7	78
lee7	M	3	24	32	8	87
lee8	F	4	17	47	5	70
choi8	M	4	13	48	8	89
choi9	M	1	21	33	3	100
choi10	F	2	16	50	10	100
kim4	M	1	18	28	7	93
kim5	M	2	24	18	6	84
lee1	M	3	29	17	5	79
lee2	M	4	30	42	8	98
lee3	M	4	22	50	4	79
lee4	F	4	24	21	10	89
